SNo,ObservationDate,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
3727,03/06/2020,,Peru,2020-03-06T15:43:02,1,0,0
3942,03/07/2020,,Peru,2020-03-06T15:43:02,1,0,0
4105,03/08/2020,,Peru,2020-03-08T05:23:03,6,0,0
4358,03/09/2020,,Peru,2020-03-09T10:13:23,7,0,0
4619,03/10/2020,,Peru,2020-03-10T16:33:13,11,0,0
4833,03/11/2020,,Peru,2020-03-10T16:33:13,11,0,0
5051,03/12/2020,,Peru,2020-03-12T08:53:02,15,0,0
5311,03/13/2020,,Peru,2020-03-11T20:00:00,28,0,0
5487,03/14/2020,,Peru,2020-03-14T12:33:03,38,0,0
5740,03/15/2020,,Peru,2020-03-15T18:20:18,43,0,0
5977,03/16/2020,,Peru,2020-03-16T14:38:45,86,0,0
6245,03/17/2020,,Peru,2020-03-17T15:53:12,117,0,1
6519,03/18/2020,,Peru,2020-03-18T16:59:34,145,0,1
6794,03/19/2020,,Peru,2020-03-19T18:13:29,234,0,1
7093,03/20/2020,,Peru,2020-03-20T14:13:08,234,3,1
7385,03/21/2020,,Peru,2020-03-21T20:43:02,318,5,1
7734,03/22/2020,,Peru,3/8/20 5:31,363,5,1
8032,03/23/2020,,Peru,2020-03-23 23:23:20,395,5,1
8330,03/24/2020,,Peru,2020-03-24 23:41:50,416,7,1
8632,03/25/2020,,Peru,2020-03-25 23:37:49,480,9,1
8935,03/26/2020,,Peru,2020-03-26 23:53:24,580,9,14
9242,03/27/2020,,Peru,2020-03-27 23:27:48,635,11,16
9550,03/28/2020,,Peru,2020-03-28 23:11:06,671,16,16
9861,03/29/2020,,Peru,2020-03-29 23:14:06,852,18,16
10173,03/30/2020,,Peru,2020-03-30 22:58:55,950,24,53
10486,03/31/2020,,Peru,2020-03-31 23:49:27,1065,30,394
10799,04/01/2020,,Peru,2020-04-01 22:04:58,1323,38,394
